Big Data is Too Big for Scientists to Handle Alone,2013-08-03,"As science dives into an ocean of data, the demands of large-scale interdisciplinary collaborations are growing increasingly acute.",mattmann.jpg,Chris Mattmann and David Schimmel,"On the left, David Schimmel; on the right Chris Mattmann.",mattmann.html
Frontiers in Massive Data Analysis,2013-11-15,"The National Research Committee has published a report highlighting the needs and investments required to address massive data analysis across several industries.
",fmda.jpg,Frontiers in Massive Data Analysis,"Logo featuring numerous dots with the words ""Frontiers in Massive Data Analysis"" overlaid.
",fmda.html
BRDI Announces Data and Information Challenge,2013-12-01,The National Academy of Sciences Board on Research Data and announces an open challenge.,nas.jpg,National Academy of Sciences Logo,Logo of the National Academy of Sciences,nas.html
LOPS 2014: Workshop on Long Term Preservation for Big Scientific Data,2014-04-01,"Workshop on Long Term Preservation for Big Scientific Data (April 4, 2014)",,,,lops.html
Congratulations to Lew Allen Award winner David Thompson,2013-01-15,David Thompson wins the 2013 Lew Allen Award for Excellence,,,,lew-allen.html
Prolific NASA Mars Orbiter Passes Big Data Milestone,2013-11-08,"NASA's Mars Reconnaissance Orbiter has returned over 200 terabits of science data via the NASA Deep Space Network.
",mro.jpg,Mars Reconnaissance Orbiter,Artist concept of Mars Reconnaissance Orbiter. Image credit: NASA/JPL,mro.html
NSF EarthCube Conceptual Design Award,2014-06-06,NSF awards two year project for EarthCube,,,,cube.html
2014 Big Data from Space,2014-11-14,2014 Conference on Big Data from Space (BiDS '14),bids14.jpg,BiDS'14,"Logo of the European Space Agency and the words ""2014 Conference on Big Data from Space"" with the subtitle ""Research, Technology, and Innovation"" and the dates ""12–14 November 2014"" and the location ""Frascati (Rome) Italy""",bids14.html
"IEEE BigData 2014
",2014-10-27,IEEE International Conference on Big Data 2014 (IEEE BigData 2014),ieee.jpg,IEEE Big Data 2014,"The White House and lawn with the words ""2014 IEEE International Conference on Big Data (IEEE BigData 2014)"" and a larger, repeated ""IEEE BigData 2014"" overlaid, as well as ""Oct 27–30, Washington DC, USA"" in the corner.
",ieee.html
JPL-Caltech Virtual Summer School,2014-09-02,"JPL-Caltech Virtual Summer School Big Data Analytics Sept 2–12, 2014",school.jpg,Virtual Summer School Big Data Analytics,"A logotype of three spheres covered with abstractions of data with the words ""JPL-Caltech Virtual Summer School"", ""Big Data Analytics"", and ""September 2–12, 2014"".",school.html
"Megacities selected as a big data project to watch by the UN Big Data Climate Challenge
",2014-03-03,"The Megacities Carbon Project has been selected by the UN Big Data climate Challenge as a ""Project to Watch"".",climate.png,Big Data Climate Challenge,"The Megacities Carbon Project has been selected by the UN Big Data climate Challenge as a ""Project to Watch"".
",climate.html
BiDS'14 Conference Proceedings,2014-07-07,"European Space Agency (esa) 2014 Conference on Big Data from Space conference proceedings.
",esa.jpg,ESA Big Data,"Logo of the European Space Agency and the words ""2014 Conference on Big Data from Space"" with the subtitle ""Research, Technology, and Innovation""",esa.html
"New — Center for Data-Driven Discovery (CD3)
",2015-01-01,The new Center for Data-Driven Discovery (CD3) supports data driven research at Caltech.,spheres.jpg,Spheres in Space,Abstract data plot in three dimensions with cubes and spheres in space; Credit: C. Donalek and S.G. Djorgovski/Caltech,spheres.html
"Machines Teach Astronomers About Stars
",2015-01-08,"Astronomers have turned to a method called ""machine learning"" to help them understand the properties of large numbers of stars.",galaxies.jpg,Galaxies,"Field of stars and galaxies; Credit: NASA/JPL-Caltech
",galaxies.html
"NIST Megacities Carbon Project Named 'Project to Watch' by United Nations
",2014-09-15,A greenhouse gas field measurement research program developed by scientists at the National Institute of Standards and Technology (NIST) and several collaborating institutions has been named a “Project to Watch” by a United Nations organization that focuses on harnessing big data for worldwide benefit.,megacities.jpg,Megacities,A depiction of sensors located around Los Angeles provide measurements of greenhouse gases; credit: NASA/JPL-Caltech,megacities.html
"SURF - Summer 2015 Announcement Posted
",2015-02-02,Student-Faculty Programs Office - Caltech Summer 2015 Announcement of Opportunity,,,,surf.html
"NASA Scientist Tells CIOs to Set Realistic Expectations for Big Data
",2015-02-03,"Amy Braverman, principal statistician at NASA’s Jet Propulsion Laboratory, talked with the WSJ’s Scott Thurm at the WSJ CIO Network event in San Diego, Feb. 3, 2015.",amy.jpg,Amy Braverman,Dr Amy Braverman on the right speaking to Wall Street Journal journalist Scott Thurm on the left; credit: Gary Fong/Genesis Photos,amy.html
2015 Planetary Data Workshop,2015-06-08,"The Second Planetary Data Workshop will be conducted June 8–11, 2015, in the main building of the High Country Conference Center at Northern Arizona University in Flagstaff, Arizona.",2pdw.jpg,2nd Planetary Data Workshop,"Logo of the Second Planetary Data Workshop featuring that text, the words ""Flagstaff, Arizona"", the dates ""June 8–11 2015"", and an abstract globe comprised of dots; USRA Houston",2pdw.html
DAWN,2015-06-15,"Distributed Architecture, Workflow and Numerics",dawn.png,Abstract Boxes and Arrows and Other Shapes,"An abstract diagram depicting cans, squares, and diamonds connected by arrows with a circle in the middle; Credit: Luca Cinquini",dawn.html
"JPL Team builds Data Science Visualization for Vesta
",2015-03-31,"Vesta Trek, a free, online visualization tool, has been released by NASA/JPL. This tool provides detailed visualizations of the asteroid Vesta.
",vesta.jpg,Asteroid Vesta,"The asteroid named ""Vesta""; Image credit: NASA",vesta.html
$5 million NASA grant given to Cal State L.A. to partner with NASA/JPL,2015-05-04,"The five-year grant will allow Cal State L.A. to establish a new center in partnership with JPL's Center for Data Science and Technology to train minority and low-income students in science, technology, engineering and mathematics (STEM) fields to address a critical shortfall in the workforce essential for future NASA missions.",calstate.jpg,Cal State University,Two students walking in opposite directions on the Los Angeles campus of Cal State University; Photo Credit: Barbara Davidson / Los Angeles Times,calstate.html
"$4.5 million NASA grant on big data given to University of California, Riverside to partner with NASA/JPL",2015-07-01,"UC Riverside has received a five-year grant to train underrepresented minority students to develop research, education, training and collaborative opportunities in big data and visualization in partnership with JPL's Center for Data Science and Technology.",binary.jpg,"Binary Digits, or ""bits""",An abstract image of binary data featuring a pattern of zeros and ones at various angles; Photo Credit: DARPA,riverside.html
"Data and Computational Science Technologies for Earth Science Research - IEEE Big Data Conference
",2015-08-08,"October 29, 2015 – November 1, 2015 Santa Clara, CA",blerg.png,Data and Computational Science Technologies for Earth Science Research,"Logo featuring a globe of the Earth on the left and the words ""Data and Computational Science Technologies for Earth Science Research"" on the right",blerg.html
Caltech's Center for Data-Driven Discovery (CD3) and JPL's Center for Data Science and Technology (CDST) combine forces.,2015-06-17,The two centers have formally teamed up to create the Joint Initiative on Data Science and Technology.,wtf.jpg,"Leaf Cells, apparently",Leaf cells from the Arabidopsis thaliana plant; Credit: Alexandre Cunha/Caltech and Jiyan Qi and Yuling Jiao/Chinese Academy of Sciences,leafcells.html
Memex initiative aides 'Deep Web Search' that may help scientists in the future,2015-05-22,JPL is one of the institutions collaborating on a DARPA initiative called Memex that accesses and catalogs information buried deep in the Web.,iceberg.jpg,Iceberg,An iceberg mostly submerged in the ocean overlaid with interconnected data points; Image Credit:NASA/JPL-Caltech,memex.html
